timestamp,from_address,to_address,value,status
2019-01-01 00:13:13,C1570470609,Merchant-MOB32546243,1.99,completed
2019-01-01 00:13:28,C1979654554,Merchant-AMA2984728,42.18,completed
2019-01-01 00:13:54,C1376360943,Merchant-MOB32546243,2.99,completed
2019-01-01 00:14:34,C1744059451,Merchant-SERV32456,83.11,completed
2019-01-01 00:15:00,C1274450371,Merchant-MOB32546243,0.99,completed
2019-01-01 00:15:38,C1570470609,Merchant-RECUR84756,14.99,completed
2019-01-01 00:16:23,C1912850431,Merchant-MOB32546243,2.49,completed
2019-01-01 00:17:18,C1376360943,Merchant-MOB32546243,0.99,completed
2019-01-01 00:17:48,C1570470609,Merchant-RECUR84756,9.99,completed
2019-01-01 00:18:09,C1979654554,Merchant-MOB32546243,6.99,completed
2019-01-01 00:18:29,C1744059451,Merchant-MOB32546243,2.49,completed
2019-01-01 00:18:49,C913371580,Merchant-MOB32546243,3.50,completed
2019-01-01 00:19:33,C675355092,Merchant-MOB32546243,0.99,completed
2019-01-01 00:20:02,C2004099473,Merchant-MOB32546243,2.99,completed
2019-01-01 00:20:36,C1979654554,Merchant-MOB32546243,1.99,completed
2019-01-01 00:21:00,C405634248,Merchant-FRAUDO87637,75.12,completed
2019-01-01 00:21:35,C1744059451,Merchant-SHOPPING245,24.72,completed
2019-01-01 00:21:58,C1181349026,Merchant-MOB32546243,9.95,completed
2019-01-01 00:22:22,C1666544295,Merchant-MOB32546243,0.99,completed
2019-01-01 00:23:15,C1570470609,Merchant-AMA2984728,35.99,completed
2019-01-01 00:23:33,C405634248,Merchant-MOB32546243,2.99,completed
2019-01-01 00:23:52,C1897443168,Merchant-DINING47836,85.32,completed
2019-01-01 00:24:31,C1376360943,Merchant-MOB32546243,1.99,completed
2019-01-01 00:24:53,C405634248,Merchant-MOB32546243,0.99,completed
2019-01-01 00:25:33,C1570470609,Merchant-DINING47836,47.95,completed
2019-01-01 00:26:09,C1570470609,Merchant-MOB32546243,9.95,completed
2019-01-01 00:27:29,C675355092,Merchant-MOB32546243,4.99,completed
2019-01-01 00:28:03,C1570470609,Merchant-RECUR84756,10.99,completed
2019-01-01 00:29:04,C1181349026,Merchant-MOB32546243,0.99,completed
2019-01-01 00:30:28,C1979654554,Merchant-FRAUDO87637,1238.00,fraudulent
2019-01-01 00:30:50,C675355092,Merchant-MOB32546243,1.79,completed
2019-01-01 00:31:16,C675355092,Merchant-GROCERY6723,158.34,completed
2019-01-01 00:31:41,C1570470609,Merchant-SHOPPING245,78.95,completed
2019-01-01 00:32:08,C1274450371,Merchant-MOB32546243,1.99,completed
2019-01-01 00:32:57,C405634248,Merchant-FRAUDO87637,83.52,completed
2019-01-01 00:33:23,C1570470609,Merchant-MOB32546243,4.99,completed
2019-01-01 00:34:06,C913371580,Merchant-AMA2984728,39.99,completed
2019-01-01 00:34:39,C405634248,Merchant-MOB32546243,1.99,completed
2019-01-01 00:35:50,C1274450371,Merchant-MOB32546243,0.99,completed
2019-01-01 00:36:23,C1570470609,Merchant-COFFEE2343,4.95,completed
2019-01-01 00:36:50,C1274450371,Merchant-RECUR84756,14.99,completed
2019-01-01 00:37:41,C1574898060,Merchant-MOB32546243,1.99,completed
2019-01-01 00:38:10,C1376360943,Merchant-MOB32546243,9.99,completed
2019-01-01 00:38:42,C405634248,Merchant-FRAUDO87637,999.99,fraudulent
2019-01-01 00:39:34,C1979654554,Merchant-MOB32546243,14.99,completed
2019-01-01 00:40:03,C405634248,Merchant-TRAVEL58743,432.18,completed
2019-01-01 00:40:34,C1570470609,Merchant-MOB32546243,0.99,completed
2019-01-01 00:41:09,C405634248,Merchant-MOB32546243,1.49,completed
2019-01-01 00:41:43,C1570470609,Merchant-AMA2984728,32.95,completed
2019-01-01 00:42:20,C1376360943,Merchant-FRAUDO87637,795.00,fraudulent
2019-01-01 00:42:45,C1666544295,Merchant-DINING47836,42.84,completed
2019-01-01 00:43:21,C1931504159,Merchant-GROCERY6723,87.32,completed
2019-01-01 00:44:08,C675355092,Merchant-SHOPPING245,59.95,completed
2019-01-01 00:44:37,C1570470609,Merchant-MOB32546243,2.99,completed
2019-01-01 00:45:16,C2004099473,Merchant-AMA2984728,86.75,completed
2019-01-01 00:45:40,C1732738910,Merchant-DINING47836,67.85,completed
2019-01-01 00:46:13,C1274450371,Merchant-MOB32546243,2.99,completed
2019-01-01 00:46:39,C1570470609,Merchant-COFFEE2343,3.75,completed
2019-01-01 00:47:01,C675355092,Merchant-MOB32546243,9.99,completed
2019-01-01 00:47:28,C1376360943,Merchant-MOB32546243,14.95,completed
2019-01-01 00:47:56,C1570470609,Merchant-SHOPPING245,89.95,completed
2019-01-01 00:48:24,C405634248,Merchant-MOB32546243,2.49,completed
2019-01-01 00:48:56,C1274450371,Merchant-GROCERY6723,125.87,completed
2019-01-01 00:49:18,C1570470609,Merchant-MOB32546243,9.95,completed
2019-01-01 00:49:42,C405634248,Merchant-FRAUDO87637,1500.00,fraudulent
2019-01-01 00:50:10,C1570470609,Merchant-RECUR84756,8.99,completed
2019-01-01 00:50:38,C405634248,Merchant-MOB32546243,4.99,completed
2019-01-01 00:51:03,C675355092,Merchant-MOB32546243,3.99,completed
2019-01-01 00:51:32,C1570470609,Merchant-MOB32546243,1.99,completed
2019-01-01 00:52:00,C1979654554,Merchant-MOB32546243,6.95,completed
